date,pct_change,high,low,close,ma5,ma10,ma20,ma60
2004-01-02,,1021.57,993.892,1011.35,,,,
2004-01-09,0.0696477,1115.46,1008.28,1081.79,,,,
2004-01-16,0.00172585,1123.66,1067.85,1083.65,,,,
2004-01-30,-0.0148562,1103.7,1066.44,1067.55,,,,
2004-02-06,0.0510804,1139.09,1069.97,1122.08,1073.284,,,
2004-02-13,-0.0229234,1141.99,1088.86,1096.36,1090.2859999999998,,,
2004-02-20,0.0258117,1138.08,1098.86,1124.66,1098.86,,,
2004-02-27,-0.0319527,1129.52,1061.2,1088.72,1099.874,,,
2004-03-05,-0.0157469,1099.71,1061.89,1071.58,1100.6799999999998,,,
2004-03-12,0.025663,1102.22,1056.04,1099.08,1096.08,1084.682,,
2004-03-19,0.027927,1141.81,1100.15,1129.78,1102.764,1096.525,,
2004-03-26,-0.015041,1141.81,1105.55,1112.78,1100.3880000000001,1099.624,,
2004-04-02,0.0135004,1133.44,1093.12,1127.81,1108.206,1104.0400000000002,,
2004-04-09,-0.035155,1129.81,1083.33,1088.16,1111.522,1106.101,,
2004-04-16,-0.0155575,1087.48,1049.03,1071.23,1105.952,1101.016,,
2004-04-23,-0.0343708,1073.4,1032.87,1034.41,1086.8780000000002,1094.821,,
2004-04-30,-0.00817375,1045.24,1011.21,1025.95,1069.5120000000002,1084.95,,
2004-05-14,-0.0272985,1031.02,989.314,997.947,1043.5394000000001,1075.8727000000001,,
2004-05-21,-0.00350419,1001.9,966.061,994.45,1024.7974,1068.1597,,
2004-05-28,0.00119362,1006.69,972.408,995.637,1009.6788,1057.8154,1071.2486999999999,
2004-06-04,-0.00945324,1014.71,981.615,986.225,1000.0418,1043.4599,1069.9924500000002,
2004-06-11,-0.0439687,984.084,936.641,942.862,983.4242,1026.4681,1063.0460500000002,
2004-06-18,-0.0346551,958.997,899.268,910.187,965.8722,1004.7058,1054.3728999999998,
2004-06-25,-0.0202123,924.617,890.222,891.79,945.3402,985.0688,1045.5849,
2004-07-02,0.0390529,931.416,877.324,926.617,931.5362000000001,970.6075000000001,1035.81175,
2004-07-09,-0.00368545,944.287,917.47,923.202,918.9315999999999,959.4867,1027.1538500000001,
2004-07-16,0.0248873,948.848,897.232,946.178,919.5948000000001,951.5094999999999,1018.2297500000001,
2004-07-23,-0.0329061,954.162,901.757,915.043,920.566,943.2190999999999,1009.5459000000001,
2004-07-30,-0.00959299,920.523,891.723,906.265,923.461,934.4005999999999,1001.2801500000002,
